accountlength,areacode,churn,customerservicecalls,numbervmailmessages,totaldaycalls,totaldayminutes,totalevecalls,totaleveminutes,totalintlcalls,totalintlminutes,totalnightcalls,totalnightminutes
128,415,False,1,25,110.0,265.1,99.0,197.4,3.0,10.0,91.0,244.7
107,415,False,1,26,123.0,161.6,103.0,195.5,3.0,13.7,103.0,254.4
137,415,False,0,0,114.0,243.4,110.0,121.2,5.0,12.2,104.0,162.6
84,408,False,2,0,71.0,299.4,88.0,61.9,7.0,6.6,89.0,196.9
75,415,False,3,0,113.0,166.7,122.0,148.3,3.0,10.1,121.0,186.9
118,510,False,0,0,98.0,223.4,101.0,220.6,6.0,6.3,118.0,203.9
121,510,False,3,24,88.0,218.2,108.0,348.5,7.0,7.5,118.0,212.6
147,415,False,0,0,79.0,157.0,94.0,103.1,6.0,7.1,96.0,211.8
117,408,False,1,0,97.0,184.5,80.0,351.6,4.0,8.7,90.0,215.8
141,415,False,0,37,84.0,258.6,111.0,222.0,5.0,11.2,97.0,326.4
65,415,True,4,0,137.0,129.1,83.0,228.5,6.0,12.7,111.0,208.8
74,415,False,0,0,127.0,187.7,148.0,163.4,5.0,9.1,94.0,196.0
168,408,False,1,0,96.0,128.8,71.0,104.9,2.0,11.2,128.0,141.1
95,510,False,3,0,88.0,156.6,75.0,247.6,5.0,12.3,115.0,192.3
62,415,False,4,0,70.0,120.7,76.0,307.2,6.0,13.1,99.0,203.0
161,415,True,4,0,67.0,332.9,97.0,317.8,9.0,5.4,128.0,160.6
85,408,False,1,27,139.0,196.4,90.0,280.9,4.0,13.8,75.0,89.3
93,510,False,3,0,114.0,190.7,111.0,218.2,3.0,8.1,121.0,129.6
76,510,False,1,33,66.0,189.7,65.0,212.8,5.0,10.0,108.0,165.7
73,415,False,1,0,90.0,224.4,88.0,159.5,2.0,13.0,74.0,192.8
147,415,False,0,0,117.0,155.1,93.0,239.7,4.0,10.6,133.0,208.8
77,408,True,5,0,89.0,62.4,121.0,169.9,6.0,5.7,64.0,209.6
130,415,False,0,0,112.0,183.0,99.0,72.9,19.0,9.5,78.0,181.8
111,415,False,2,0,103.0,110.4,102.0,137.3,6.0,7.7,105.0,189.6
132,510,False,0,0,86.0,81.1,72.0,245.2,2.0,10.3,115.0,237.0
174,415,False,3,0,76.0,124.3,112.0,277.1,5.0,15.5,115.0,250.7
57,408,False,0,39,115.0,213.0,112.0,191.1,3.0,9.5,115.0,182.7
54,408,False,3,0,73.0,134.3,100.0,155.5,4.0,14.7,68.0,102.1
20,415,False,0,0,109.0,190.0,84.0,258.2,6.0,6.3,102.0,181.5
49,510,False,1,0,117.0,119.3,109.0,215.1,1.0,11.1,90.0,178.7
142,415,False,2,0,95.0,84.8,63.0,136.7,6.0,14.2,148.0,250.5
75,510,False,1,0,105.0,226.1,107.0,201.5,5.0,10.3,98.0,246.2
172,408,False,3,0,121.0,212.0,115.0,31.2,10.0,12.6,78.0,293.3
12,408,True,1,0,118.0,249.6,119.0,252.4,3.0,11.8,90.0,280.2
57,408,False,0,25,94.0,176.8,75.0,195.0,4.0,8.3,116.0,213.5
72,415,False,3,37,80.0,220.0,102.0,217.3,6.0,14.7,71.0,152.8
36,408,False,0,30,128.0,146.3,80.0,162.5,6.0,14.5,109.0,129.3
78,415,False,1,0,64.0,130.8,116.0,223.7,5.0,10.0,108.0,227.8
136,415,False,3,33,106.0,203.9,99.0,187.6,6.0,10.5,107.0,101.7
149,408,False,1,0,94.0,140.4,92.0,271.8,9.0,11.1,108.0,188.3
98,408,False,3,0,102.0,126.3,85.0,166.8,2.0,9.4,135.0,187.8
135,408,True,0,41,85.0,173.1,107.0,203.9,15.0,14.6,78.0,122.2
34,510,False,2,0,82.0,124.8,98.0,282.2,4.0,10.0,78.0,311.5
160,415,False,3,0,77.0,85.8,110.0,165.3,4.0,9.2,92.0,178.5
64,510,False,1,0,67.0,154.0,118.0,225.8,3.0,3.5,86.0,265.3
59,408,False,2,28,97.0,120.9,92.0,213.0,5.0,8.5,116.0,163.1
65,415,False,3,0,120.0,211.3,122.0,162.6,5.0,13.2,118.0,134.7
142,408,False,2,0,133.0,187.0,74.0,134.6,5.0,7.4,127.0,242.2
119,415,True,5,0,114.0,159.1,117.0,231.3,3.0,8.8,91.0,143.2
97,415,False,1,24,135.0,133.2,58.0,217.2,3.0,11.0,79.0,70.6
52,408,False,3,0,108.0,191.9,96.0,269.8,5.0,7.8,87.0,236.8
60,408,False,1,0,57.0,220.6,115.0,211.1,3.0,6.8,129.0,249.0
10,408,False,2,0,112.0,186.1,66.0,190.2,6.0,11.4,57.0,282.8
96,415,False,2,0,117.0,160.2,67.0,267.5,5.0,9.3,68.0,228.5
87,415,True,5,0,83.0,151.0,116.0,219.7,3.0,9.7,127.0,203.9
81,408,False,1,0,67.0,175.5,85.0,249.3,3.0,10.2,98.0,270.2
141,415,False,1,0,98.0,126.9,62.0,180.0,2.0,8.0,128.0,140.8
121,408,True,3,30,129.0,198.4,77.0,75.3,3.0,5.8,77.0,181.2
68,415,False,3,0,70.0,148.8,164.0,246.5,3.0,12.1,103.0,129.8
125,408,False,1,0,103.0,229.3,126.0,177.4,8.0,12.0,95.0,189.3
174,408,False,1,0,97.0,192.1,94.0,169.9,4.0,11.4,54.0,166.6
116,415,False,2,34,83.0,268.6,142.0,178.2,3.0,11.6,106.0,166.3
74,510,False,2,33,91.0,193.7,96.0,246.1,3.0,14.6,92.0,138.0
149,408,False,3,28,92.0,180.7,64.0,187.8,3.0,12.6,53.0,265.5
